Variable name,variable representations,allowable units,exception units,preferred unit for normalization,minimum value by domain knowledge,maximum value by domain knowledge,domain knowledge source
Epstein-Barr Nuclear Antibody,Epstein-Barr Nuclear Antibody|Epstein-Barr Nuclear Antigen Antibody,,TEMPORAL,,,,
Epstein-Barr Nuclear Antigen,Epstein-Barr Nuclear Antigen,,TEMPORAL,,,,
Epstein-Barr Nuclear Antigen 1 IgG Ab,Epstein-Barr Nuclear Antigen 1 IgG Ab,,TEMPORAL,,,,
Ery. Mean Corpuscular Hemoglobin,Ery. Mean Corpuscular Hemoglobin|MEAN CORPUSCULAR HEMOGLOBIN,,TEMPORAL,,,,
Ery. Mean Corpuscular HGB Concentration,Ery. Mean Corpuscular HGB Concentration|MEAN CORPUSCULAR HEMOGLOBIN CONC,,TEMPORAL,,,,
Ery. Mean Corpuscular Volume,Ery. Mean Corpuscular Volume|Erythrocytes Mean Corpuscular Volume|RBC Mean Corpuscular Volume|MCV|Mean Corpuscular Volume,,TEMPORAL,,,,
Erythrocyte Agglutination,Autoagglutination|Erythrocyte Agglutination|RBC Agglutination,,TEMPORAL,,,,
Erythrocyte Cell Clumps,Erythrocyte Cell Clumps|RBC Aggregates|RBC Clumps|Red Blood Cell Clumps,,TEMPORAL,,,,
Erythrocyte Cell Morphology,Erythrocyte Cell Morphology|RBC Morphology|Red Blood Cell Morphology,,TEMPORAL,,,,
Erythrocyte Fragment,Erythrocyte Fragment|RBC Fragment,,TEMPORAL,,,,
Erythrocyte Ghosts,Erythrocyte Ghosts|RBC Ghosts,,TEMPORAL,,,,
Erythrocyte Sedimentation Rate,Biernacki Reaction|Erythrocyte Sedimentation Rate,,TEMPORAL,,,,
Erythrocytes,Erythrocytes|Red Blood Cells,,TEMPORAL,,,,
Erythrocytes Distribution Width,Erythrocytes Distribution Width|RDW-CV|Red Blood Cell Distribution Width|Red Cell Volume Distribution Width,,TEMPORAL,,,,
Erythroid Maturation Index,Erythroid Maturation Index,,TEMPORAL,,,,
Erythroid Maturation Pool,Erythroid Maturation Pool,,TEMPORAL,,,,
Erythroid Proliferation Index,Erythroid Proliferation Index,,TEMPORAL,,,,
Erythroid Proliferation Pool,Erythroid Proliferation Pool,,TEMPORAL,,,,
Erythropoietin,Erythropoietin|Hematopoietin,,TEMPORAL,,,,
Estradiol,Estradiol|Oestradiol,,TEMPORAL,,,,
Estriol,Estriol|Oestriol,,TEMPORAL,,,,
"Estriol, Free","Estriol, Free",,TEMPORAL,,,,
Estrogen Receptor,ER|ESR|Estrogen Receptor|Oestrogen Receptor,,TEMPORAL,,,,
Estrone,Estrone|Oestrone,,TEMPORAL,,,,
Ethanol,Alcohol|Ethanol,,TEMPORAL,,,,
ETP Area Under Curve,ETP Area Under Curve|Endogenous Thrombin Potential Area Under Curve,,TEMPORAL,,,,
ETP Lag Time,ETP Lag Time|Endogenous Thrombin Potential Lag Time,,TEMPORAL,,,,
ETP Lag Time Relative,ETP Lag Time Relative|Endogenous Thrombin Potential Lag Time Relative,,TEMPORAL,,,,
ETP Peak Height,ETP Peak Height|Endogenous Thrombin Potential Peak Height,,TEMPORAL,,,,
ETP Peak Height Relative,ETP Peak Height Relative|Endogenous Thrombin Potential Peak Height Relative,,TEMPORAL,,,,
ETP Time to Peak,ETP Time to Peak|Endogenous Thrombin Potential Time to Peak,,TEMPORAL,,,,
ETP Time to Peak Relative,ETP Time to Peak Relative|Endogenous Thrombin Potential Time to Peak Relative,,TEMPORAL,,,,
Extracell Newly Ident RAGE Bind Protein,Extracell Newly Ident RAGE Bind Protein|S100 Calcium Binding Protein A12,,TEMPORAL,,,,
Extractable Nuclear Antigen Antibody,Anti-ENA|Extractable Nuclear Antigen Antibody,,TEMPORAL,,,,
F2-Isoprostane,F2-Isoprostane,,TEMPORAL,,,,
Factor II,Factor II|Prothrombin,,TEMPORAL,,,,
Factor III,"Factor III|Tissue Factor, CD142",,TEMPORAL,,,,
Factor IX,Christmas Factor|Factor IX,,TEMPORAL,,,,
Factor IX Activity,Christmas Factor Activity|Factor IX Activity,,TEMPORAL,,,,
Factor V,Factor V|Labile Factor,,TEMPORAL,,,,
Factor V Activity,Factor V Activity|Labile Factor Activity,,TEMPORAL,,,,
Factor V Leiden,Factor V Leiden,,TEMPORAL,,,,
Factor VII,Factor VII|Proconvertin|Stable Factor,,TEMPORAL,,,,
Factor VII Activity,Factor VII Activity|Proconvertin Activity|Stable Factor Activity,,TEMPORAL,,,,
Factor VIIa Activity,Factor VIIa Activity,,TEMPORAL,,,,
Factor VIII,Anti-hemophilic Factor|Factor VIII,,TEMPORAL,,,,
Factor VIII Activity,Anti-hemophilic Factor Activity|Factor VIII Activity,,TEMPORAL,,,,
Factor X,Factor X,,TEMPORAL,,,,
Factor X Activity,Factor X Activity,,TEMPORAL,,,,
Factor XIII,Factor XIII|Fibrin Stabilizing Factor,,TEMPORAL,,,,
Factor XIV,Autoprothrombin IIA|Factor XIV|Protein C|Protein C Antigen,,TEMPORAL,,,,
Factor XIV Activity,Factor XIV Activity|Protein C Activity|Protein C Function,,TEMPORAL,,,,
Fat,Fat,,TEMPORAL,,,,
"Fat Bodies, Oval","Fat Bodies, Oval",,TEMPORAL,,,,
Fat Droplet,Fat Droplet,,TEMPORAL,,,,
Fatty Acid Binding Protein 1,Fatty Acid Binding Protein 1,,TEMPORAL,,,,
Fatty Acid Binding Protein 3,Fatty Acid Binding Protein 3,,TEMPORAL,,,,
Fatty Casts,Fatty Casts,,TEMPORAL,,,,
Ferritin,Ferritin,,TEMPORAL,,,,
Fibrin Degradation Products,Fibrin Degradation Products,,TEMPORAL,,,,
Fibrinogen,Fibrinogen|Fibrinogen Antigen,,TEMPORAL,,,,
"Fibrinogen, Functional","Fibrinogen, Functional",,TEMPORAL,,,,
Fibroblast Growth Factor 21,FGF 21|Fibroblast Growth Factor 21,,TEMPORAL,,,,
Fibroblast Growth Factor 23,Fibroblast Growth Factor 23|Phosphatonin,,TEMPORAL,,,,
"Fibroblast Growth Factor 23, C-Terminal","Fibroblast Growth Factor 23, C-Terminal",,TEMPORAL,,,,
"Fibroblast Growth Factor 23, Intact","Fibroblast Growth Factor 23, Intact",,TEMPORAL,,,,
Fibroblast Growth Factor 9,FGF 9|Fibroblast Growth Factor 9,,TEMPORAL,,,,
Fibroblast Growth Factor Basic Form,FGF2|Fibroblast Growth Factor Basic Form,,TEMPORAL,,,,
FibroTest Score,FibroSURE Score|FibroTest Score,,TEMPORAL,,,,
Flagellates,Flagellates,,TEMPORAL,,,,
Flunitrazepam,Flunitrazepam,,TEMPORAL,,,,
Fluoride,Fluoride,,TEMPORAL,,,,
Flurazepam,Flurazepam,,TEMPORAL,,,,
Folate Hydrolase mRNA,Folate Hydrolase mRNA,,TEMPORAL,,,,
Follicle Stimulating Hormone,Follicle Stimulating Hormone|FSH,,TEMPORAL,,,,
Fractional Calcium Excretion,Fractional Calcium Excretion,,TEMPORAL,,,,
Fractional Chloride Excretion,Fractional Chloride Excretion,,TEMPORAL,,,,
Fractional Magnesium Excretion,Fractional Magnesium Excretion,,TEMPORAL,,,,
Fractional Phosphorus Excretion,Fractional Inorganic Phosphate Excretion|Fractional Phosphorus Excretion,,TEMPORAL,,,,
Fractional Potassium Excretion,Fractional Potassium Excretion,,TEMPORAL,,,,
Fractional Sodium Excretion,Fractional Sodium Excretion|Fractional Excretion Sodium|FENa,,TEMPORAL,,,,
Free Androgen Index,Free Androgen Index,,TEMPORAL,,,,
Free Fatty Acid,"Free Fatty Acid|Non-Esterified Fatty Acid, Free",,TEMPORAL,,,,
"Free Fatty Acid, Saturated","Free Fatty Acid, Saturated|Non-esterified Fatty Acid, Saturated",,TEMPORAL,,,,
"Free Fatty Acid, Unsaturated","Free Fatty Acid, Unsaturated|Non-esterified Fatty Acid, Unsaturated",,TEMPORAL,,,,
Free Glycerol,Free Glycerin|Free Glycerol,,TEMPORAL,,,,
Fructosamine,Fructosamine|Glycated Serum Protein,,TEMPORAL,,,,
G6PD-Deficient Erythrocytes,G6PD-Deficient Erythrocytes,,TEMPORAL,,,,
G6PD-Deficient Erythrocytes/Erythrocytes,G6PD-Deficient Erythrocytes/Erythrocytes,,TEMPORAL,,,,
Galactose Elimination Capacity,Galactose Elimination Capacity,,TEMPORAL,,,,
Galanin,Galanin,,TEMPORAL,,,,
Gamma Globulin,Gamma Globulin,,TEMPORAL,,,,
Gamma Globulin/Total Protein,Gamma Globulin/Total Protein,,TEMPORAL,,,,
Gamma Glutamyl Transferase,Gamma Glutamyl Transferase|Gamma Glutamyl TransPeptidase|GGT|GGTP,,TEMPORAL,,,,
Gamma Glutamyl Transferase/Creatinine,Gamma Glutamyl Transferase/Creatinine,,TEMPORAL,,,,
Gamma Tocopherol,Gamma Tocopherol,,TEMPORAL,,,,
Gastrin,Gastrin,,TEMPORAL,,,,
German Cockroach Antigen IgA Antibody,German Cockroach Antigen IgA Antibody,,TEMPORAL,,,,
German Cockroach Antigen IgE Antibody,German Cockroach Antigen IgE Antibody,,TEMPORAL,,,,
German Cockroach Antigen IgG Antibody,German Cockroach Antigen IgG Antibody,,TEMPORAL,,,,
German Cockroach Antigen IgG4 Antibody,German Cockroach Antigen IgG4 Antibody,,TEMPORAL,,,,
GFR from B-2 Microglobulin Adj for BSA,GFR from B-2 Microglobulin Adj for BSA,,TEMPORAL,,,,
GFR from Beta-Trace Protein Adj for BSA,GFR from Beta-Trace Protein Adj for BSA,,TEMPORAL,,,,
GFR from Creatinine Adjusted for BSA,GFR from Creatinine Adjusted for BSA,,TEMPORAL,,,,
GFR from Cystatin C Adjusted for BSA,GFR from Cystatin C Adjusted for BSA,,TEMPORAL,,,,
GFR from Cystatin C and Creat Adj BSA,GFR from Cystatin C and Creat Adj BSA,,TEMPORAL,,,,
Ghrelin,Ghrelin|Growth Hormone Secretagogue Receptor Ligand|Motilin-related Peptide|Total Ghrelin,,TEMPORAL,,,,
Giant Neutrophils,Giant Neutrophils,,TEMPORAL,,,,
Giant Platelets,Giant Platelets,,TEMPORAL,,,,
Globulin,Globulin,,TEMPORAL,,,,
Globulin/Creatinine,Globulin/Creatinine,,TEMPORAL,,,,
Glomerular Filtration Rate,Glomerular Filtration Rate,,TEMPORAL,,,,
Glomerular Filtration Rate Adj for BSA,Glomerular Filtration Rate Adj for BSA,,TEMPORAL,,,,
"Glomerular Filtration Rate, Estimated","Glomerular Filtration Rate, Estimated",,TEMPORAL,,,,
Glucagon,Glucagon,,TEMPORAL,,,,
Glucagon-Like Peptide-1,Glucagon-Like Peptide-1|Total Glucagon-Like Peptide-1,,TEMPORAL,,,,
"Glucagon-Like Peptide-1, Active Form","Glucagon-Like Peptide-1, Active Form",,TEMPORAL,,,,
Glucose,Glucose|GLU,,TEMPORAL,,,,
Glucose Clearance,Glucose Clearance,,TEMPORAL,,,,
Glucose Excretion Rate,Glucose Excretion Rate,,TEMPORAL,,,,
"Glucose, Estimated Average","Glucose, Estimated Average",,TEMPORAL,,,,
Glucose-6-Phosphate Dehydrogenase,Glucose-6-Phosphate Dehydrogenase,,TEMPORAL,,,,
Glucose-6-Phosphate Dehydrogenase Act,Glucose-6-Phosphate Dehydrogenase Act,,TEMPORAL,,,,
"Glucose-dep Insulinotropic Pep, Intact","Glucose-dep Insulinotropic Pep, Intact|Intact GIP|Intact Gastric Inhibitory Polypeptide|Intact Glucose-dependent Insulinotropic Peptide",,TEMPORAL,,,,
Glucose/Creatinine,Glucose/Creatinine,,TEMPORAL,,,,
"Glucuronidase, Alpha","Glucuronidase, Alpha",,TEMPORAL,,,,
"Glucuronidase, Beta","Glucuronidase, Beta",,TEMPORAL,,,,
Glutamate,Glutamate|Glutamic Acid,,TEMPORAL,,,,
Glutamate Dehydrogenase,Glutamate Dehydrogenase,,TEMPORAL,,,,
Glutamic Acid Decarboxylase 1,Glutamic Acid Decarboxylase 1|Glutamic Acid Decarboxylase 67,,TEMPORAL,,,,
Glutamic Acid Decarboxylase 2,Glutamic Acid Decarboxylase 2|Glutamic Acid Decarboxylase 65,,TEMPORAL,,,,
Glutamic Acid Decarboxylase 2 Antibody,Glutamic Acid Decarboxylase 2 Antibody|Glutamic Acid Decarboxylase 65 Antibody,,TEMPORAL,,,,
Glutamic Acid Decarboxylase Antibody,GAD Antibody|Glutamic Acid Decarboxylase Antibody,,TEMPORAL,,,,
Glutamine,Glutamine,,TEMPORAL,,,,
"Glutathione S-Transferase, Alpha/Creat","Glutathione S-Transferase, Alpha/Creat",,TEMPORAL,,,,
"Glutathione S-Transferase, Pi","Glutathione S-Transferase, Pi",,TEMPORAL,,,,
"Glutathione S-Transferase, Theta","Glutathione S-Transferase, Theta",,TEMPORAL,,,,
"Glutathione S-Transferase, Total","Glutathione S-Transferase, Total",,TEMPORAL,,,,
Glutathione-S-Transferase/Creatinine,Glutathione-S-Transferase/Creatinine,,TEMPORAL,,,,
Glycated Albumin,Glycated Albumin,,TEMPORAL,,,,
Glycerol,Glycerol,,TEMPORAL,,,,
Glycine,Glycine,,TEMPORAL,,,,
Gold,Gold,,TEMPORAL,,,,
Gonadotropin Releasing Hormone,Gonadotropin Releasing Hormone|Luteinising Hormone Releasing Hormone,,TEMPORAL,,,,
Granular Casts,Granular Casts,,TEMPORAL,,,,
Granular Coarse Casts,Granular Coarse Casts,,TEMPORAL,,,,
Granular Fine Casts,Granular Fine Casts,,TEMPORAL,,,,
Granulocyte Colony Stimulating Factor,Granulocyte Colony Stimulating Factor,,TEMPORAL,,,,
Granulocyte Macrophage Colony Stm Factor,Granulocyte Macrophage Colony Stm Factor,,TEMPORAL,,,,
Granulocytes,Granulocytes,,TEMPORAL,,,,
Granulocytes Band Form/Total Cells,Granulocytes Band Form/Total Cells,,TEMPORAL,,,,
Granulocytes Segmented/Total Cells,Granulocytes Segmented/Total Cells,,TEMPORAL,,,,
Granulocytes/Total Cells,Granulocytes/Total Cells,,TEMPORAL,,,,
Grass Mix Pollen Antigen IgA Antibody,Grass Mix Pollen Antigen IgA Antibody,,TEMPORAL,,,,
Grass Mix Pollen Antigen IgE Antibody,Grass Mix Pollen Antigen IgE Antibody,,TEMPORAL,,,,
Grass Mix Pollen Antigen IgG Antibody,Grass Mix Pollen Antigen IgG Antibody,,TEMPORAL,,,,
Growth Differentiation Factor 11,BMP-11|Bone Morphogenetic Protein 11|Growth Differentiation Factor 11,,TEMPORAL,,,,
Growth Differentiation Factor 8,Growth Differentiation Factor 8|Myostatin,,TEMPORAL,,,,
Growth Hormone Inhibiting Hormone,Growth Hormone Inhibiting Hormone|Somatostatin,,TEMPORAL,,,,
Growth Hormone Releasing Hormone,Growth Hormone Releasing Hormone|Somatocrinin,,TEMPORAL,,,,
Hairy Cells,Hairy Cells,,TEMPORAL,,,,
Hairy Cells/Leukocytes,Hairy Cells/Leukocytes,,TEMPORAL,,,,
Hairy Cells/Lymphocytes,Hairy Cells/Lymphocytes,,TEMPORAL,,,,
Hairy Cells/Total Cells,Hairy Cells/Total Cells,,TEMPORAL,,,,
Halazepam,Halazepam,,TEMPORAL,,,,
Haptoglobin,Haptoglobin,,TEMPORAL,,,,
HCT Corrected Reticulocytes/Erythrocytes,HCT Corrected Reticulocytes/Erythrocytes,,TEMPORAL,,,,
HCV Antibody Signal/HCV Antibody Cutoff,HCV Antibody Signal/HCV Antibody Cutoff,,TEMPORAL,,,,
HDL Cholesterol,HDL Cholesterol|HDL-C|CHOLHDL|HDL,,TEMPORAL,,,,
HDL Cholesterol/LDL Cholesterol,HDL Cholesterol/LDL Cholesterol,,TEMPORAL,,,,
HDL Particle Size,HDL Particle Size,,TEMPORAL,,,,
HDL-Cholesterol Subclass 2,HDL-Cholesterol Subclass 2,,TEMPORAL,,,,
HDL-Cholesterol Subclass 3,HDL-Cholesterol Subclass 3,,TEMPORAL,,,,
Heinz Bodies,Heinz Bodies|Heinz-Erhlich Bodies,,TEMPORAL,,,,
Heinz Bodies/Erythrocytes,Heinz Bodies/Erythrocytes,,TEMPORAL,,,,
Helicobacter pylori IgG Antibody,Helicobacter pylori IgG Antibody,,TEMPORAL,,,,
Helmet Cells,Helmet Cells,,TEMPORAL,,,,
Hematocrit,EVF|Erythrocyte Volume Fraction|Hematocrit|PCV|Packed Cell Volume|HCT,%,ALL_OTHER,%,0,100,
Hematocrit Corrected Reticulocytes,Hematocrit Corrected Reticulocytes,,TEMPORAL,,,,
Hemoglobin,Hemoglobin|Hemoglobin Monomer|HGB,,TEMPORAL,,,,
Hemoglobin A,Hemoglobin A,,TEMPORAL,,,,
Hemoglobin A1C,Glycosylated Hemoglobin|Hemoglobin A1C,,TEMPORAL,,,,
Hemoglobin A1C/Hemoglobin,Hemoglobin A1C/Hemoglobin,,TEMPORAL,,,,
Hemoglobin A2,Hemoglobin A2,,TEMPORAL,,,,
Hemoglobin B,Hemoglobin B,,TEMPORAL,,,,
Hemoglobin C,Hemoglobin C,,TEMPORAL,,,,
Hemoglobin C Crystals,Hemoglobin C Crystals,,TEMPORAL,,,,
Hemoglobin Distribution Width,Hemoglobin Concentration Distribution Width|Hemoglobin Distribution Width,,TEMPORAL,,,,
Hemoglobin F,Fetal Hemoglobin|Hemoglobin F,,TEMPORAL,,,,
Hemoglobin S,Hemoglobin S|Sickle Hemoglobin,,TEMPORAL,,,,
Hemoglobin Tetramer,Hemoglobin Tetramer,,TEMPORAL,,,,
"Hemoglobin, Free","Hemoglobin, Free",,TEMPORAL,,,,
Hemolytic Index,Hemolysis|Hemolytic Index,,TEMPORAL,,,,
Hemosiderin,Hemosiderin,,TEMPORAL,,,,
Hepatitis A Virus Antibody,Hepatitis A Virus Antibody,,TEMPORAL,,,,
Hepatitis A Virus IgM Antibody,Hepatitis A Virus IgM Antibody,,TEMPORAL,,,,
Hepatitis B Virus Antibody,Hepatitis B Virus Antibody,,TEMPORAL,,,,
Hepatitis B Virus Core Antibody,Hepatitis B Virus Core Antibody,,TEMPORAL,,,,
Hepatitis B Virus Core IgG Antibody,Hepatitis B Virus Core IgG Antibody,,TEMPORAL,,,,
Hepatitis B Virus Core IgM Antibody,Hepatitis B Virus Core IgM Antibody,,TEMPORAL,,,,
Hepatitis B Virus e Antibody,Hepatitis B Virus e Antibody,,TEMPORAL,,,,
Hepatitis B Virus e Antigen,Hepatitis B Virus e Antigen,,TEMPORAL,,,,
Hepatitis B Virus Surface Antibody,Anti-HBs|HBsAb|Hepatitis B Virus Surface Antibody,,TEMPORAL,,,,
Hepatitis B Virus Surface Antigen,HBsAg|Hepatitis B Virus Surface Antigen,,TEMPORAL,,,,
Hepatitis C Virus Antibody,Hepatitis C Virus Antibody,,TEMPORAL,,,,
Hepatitis C Virus Antigen,Hepatitis C Virus Antigen,,TEMPORAL,,,,
Hepatitis C Virus Core Antigen,Hepatitis C Virus Core Antigen,,TEMPORAL,,,,
Hepatitis D Virus Antibody,Hepatitis D Virus Antibody|Hepatitis Delta Antibody,,TEMPORAL,,,,
Hepatitis D Virus IgG Antibody,Hepatitis D Virus IgG Antibody,,TEMPORAL,,,,
Hepatitis D Virus IgM Antibody,Hepatitis D Virus IgM Antibody,,TEMPORAL,,,,
Hepatitis E Virus Antibody,Hepatitis E Virus Antibody,,TEMPORAL,,,,
Hepatitis E Virus IgG Antibody,Hepatitis E Virus IgG Antibody,,TEMPORAL,,,,
Hepatitis E Virus IgM Antibody,Hepatitis E Virus IgM Antibody,,TEMPORAL,,,,
Hepatocyte Growth Factor,Hepatocyte Growth Factor,,TEMPORAL,,,,
HER2 Antigen,HER2 Antigen|HER2/NEU Antigen,,TEMPORAL,,,,
Herpes Simplex Virus 1 IgG Antibody,HSV-1 IgG Antibody|Herpes Simplex Virus 1 IgG Antibody,,TEMPORAL,,,,
Herpes Simplex Virus 1 IgM Antibody,Herpes Simplex Virus 1 IgM Antibody,,TEMPORAL,,,,
Herpes Simplex Virus 1/2 IgG Antibody,HSV-1/2 IgG Ab|Herpes Simplex Virus 1/2 IgG Antibody,,TEMPORAL,,,,
Herpes Simplex Virus 1/2 IgM Antibody,HSV-1/2 IgM Ab|Herpes Simplex Virus 1/2 IgM Antibody,,TEMPORAL,,,,
Herpes Simplex Virus 2 IgG Antibody,HSV-2 IgG Antibody|Herpes Simplex Virus 2 IgG Antibody,,TEMPORAL,,,,
Herpes Simplex Virus 2 IgM Antibody,Herpes Simplex Virus 2 IgM Antibody,,TEMPORAL,,,,
Herpes Simplex Virus 6 Antibody,Herpes Simplex Virus 6 Antibody,,TEMPORAL,,,,
Heterophile Antibodies,Heterophile Antibodies,,TEMPORAL,,,,
Heterophils,Heterophils,,TEMPORAL,,,,
Heterophils/Leukocytes,Heterophils/Leukocytes,,TEMPORAL,,,,
Hexokinase,Hexokinase,,TEMPORAL,,,,
High Absorption Retic/Reticulocytes,High Absorption Retic/Reticulocytes,,TEMPORAL,,,,
High Absorption Reticulocytes,High Absorption Reticulocytes,,TEMPORAL,,,,
Hippuric Acid Crystals,Hippuric Acid Crystals,,TEMPORAL,,,,
Histamine,Histamine,,TEMPORAL,,,,
Histidine,Histidine,,TEMPORAL,,,,
Histone 1 Antibody,Histone 1 Antibody,,TEMPORAL,,,,
Histone 2A Antibody,Histone 2A Antibody,,TEMPORAL,,,,
Histone 2B Antibody,Histone 2B Antibody,,TEMPORAL,,,,
Histone 3 Antibody,Histone 3 Antibody,,TEMPORAL,,,,
Histone 4 Antibody,Histone 4 Antibody,,TEMPORAL,,,,
Histone Antibodies,Anti-Histone Antibodies|Histone Antibodies,,TEMPORAL,,,,
HIV Antibody,HIV Antibody,,TEMPORAL,,,,
HIV-1 Antibody,HIV-1 Antibody,,TEMPORAL,,,,
HIV-1 Group M and O Nucleic Acid,HIV-1 Group M and O Nucleic Acid,,TEMPORAL,,,,
HIV-1 Group O Antibody,HIV-1 Group O Antibody,,TEMPORAL,,,,
HIV-1 p24 Antigen,HIV-1 p24 Antigen,,TEMPORAL,,,,
HIV-1/2 Antibody,HIV-1/2 Antibody,,TEMPORAL,,,,
HIV-1/2 Antibody + HIV-1 p24 Antigen,HIV-1/2 Antibody + HIV-1 p24 Antigen,,TEMPORAL,,,,
HIV-2 Antibody,HIV-2 Antibody,,TEMPORAL,,,,
HIV-2 Nucleic Acid,HIV-2 Nucleic Acid,,TEMPORAL,,,,
HLA Class I Antibody,HLA Class I Antibody,,TEMPORAL,,,,
HLA Class I Panel Reactive Antibody,HLA Class I Panel Reactive Antibody,,TEMPORAL,,,,
HLA Class II Antibody,HLA Class II Antibody,,TEMPORAL,,,,
HLA Class II Panel Reactive Antibody,HLA Class II Panel Reactive Antibody,,TEMPORAL,,,,
HLA Mismatch Count,HLA Mismatch Count,,TEMPORAL,,,,
HLA-A Antigen Type,HLA-A Antigen Type,,TEMPORAL,,,,
HLA-A Mismatch Count,HLA-A Mismatch Count,,TEMPORAL,,,,
HLA-A2 Antibody,HLA-A2 Antibody,,TEMPORAL,,,,
HLA-A23 Antibody,HLA-A23 Antibody,,TEMPORAL,,,,
HLA-B Antigen Type,HLA-B Antigen Type,,TEMPORAL,,,,
HLA-B Mismatch Count,HLA-B Mismatch Count,,TEMPORAL,,,,
HLA-B27 Antigen,HLA-B27 Antigen|Human Leukocyte Antigen B27,,TEMPORAL,,,,
HLA-DR Antigen Type,HLA-DR Antigen Type,,TEMPORAL,,,,
HLA-DR Mismatch Count,HLA-DR Mismatch Count,,TEMPORAL,,,,
HLA-DR51 Antibody,HLA-DR51 Antibody,,TEMPORAL,,,,
HLA-DR52 Antibody,HLA-DR52 Antibody,,TEMPORAL,,,,
HLA-DR53 Antibody,HLA-DR53 Antibody,,TEMPORAL,,,,
Homocysteine,Homocysteine,,TEMPORAL,,,,
Homovanillic Acid,Homovanillic Acid,,TEMPORAL,,,,
Howell-Jolly Bodies,Howell-Jolly Bodies,,TEMPORAL,,,,
HTLV-1/2 Antibody,HTLV-1/2 Antibody|HTLV-I/II Antibody|Human T-cell Lymphotropic Virus 1/2 Antibody,,TEMPORAL,,,,
Human Albumin Antibody,Human Albumin Antibody,,TEMPORAL,,,,
Human Anti-Mouse Antibody,HAMA|Human Anti-Mouse Antibody,,TEMPORAL,,,,
Human Anti-Sheep IgE Antibody,Human Anti-Sheep IgE Antibody,,TEMPORAL,,,,
Human Anti-Sheep IgG Antibody,Human Anti-Sheep IgG Antibody,,TEMPORAL,,,,
Human Anti-Sheep IgM Antibody,Human Anti-Sheep IgM Antibody,,TEMPORAL,,,,
Human Epidermal Growth Factor Receptor 2,ERBB2|HER2/NEU|Human Epidermal Growth Factor Receptor 2,,TEMPORAL,,,,
Human Papillomavirus 11 Antibody,Human Papillomavirus 11 Antibody,,TEMPORAL,,,,
Human Papillomavirus 16 Antibody,Human Papillomavirus 16 Antibody,,TEMPORAL,,,,
Human Papillomavirus 18 Antibody,Human Papillomavirus 18 Antibody,,TEMPORAL,,,,
Human Papillomavirus 6 Antibody,Human Papillomavirus 6 Antibody,,TEMPORAL,,,,
Huntingtin Protein,Huntingtin Protein,,TEMPORAL,,,,
"Huntingtin Protein, Mutant","Huntingtin Protein, Mutant",,TEMPORAL,,,,
Hyaline Casts,Hyaline Casts,,TEMPORAL,,,,
Hyaluronic Acid,Hyaluronic Acid,,TEMPORAL,,,,
Hydrocodone,Hydrocodone,,TEMPORAL,,,,
Hydrogen,Hydrogen,,TEMPORAL,,,,
Hydromorphone,Hydromorphone,,TEMPORAL,,,,
Hydroxyproline,Hydroxyproline,,TEMPORAL,,,,
Hyperchromia,Hyperchromia,,TEMPORAL,,,,
Hypersegmented Cells,Hypersegmented Cells,,TEMPORAL,,,,
Hypochromia,Hypochromia,,TEMPORAL,,,,
Hypogranular Neutrophils,Hypogranular Neutrophils,,TEMPORAL,,,,
Icteric Index,Icteric Index|Icterus,,TEMPORAL,,,,
IDL Cholesterol,IDL Cholesterol|Intermediate Density Lipoprotein,,TEMPORAL,,,,
IDL Particles,IDL Particles|Intermediate Density Lipoproteins Particles,,TEMPORAL,,,,
IgG IgM IgA Total,IgG IgM IgA Total,,TEMPORAL,,,,
Immature Basophils,Immature Basophils,,TEMPORAL,,,,
Immature Basophils/Leukocytes,Immature Basophils/Leukocytes,,TEMPORAL,,,,
Immature Cells,Immature Cells,,TEMPORAL,,,,
Immature Cells/Total Cells,Immature Cells/Total Cells,,TEMPORAL,,,,
Immature Eosinophils,Immature Eosinophils,,TEMPORAL,,,,
Immature Eosinophils/Leukocytes,Immature Eosinophils/Leukocytes,,TEMPORAL,,,,
Immature Granulocytes,Immature Granulocytes,,TEMPORAL,,,,
Immature Granulocytes/Leukocytes,Immature Granulocytes/Leukocytes,,TEMPORAL,,,,
Immature Leukocytes,Immature Leukocytes,,TEMPORAL,,,,
Immature Leukocytes/Leukocytes,Immature Leukocytes/Leukocytes,,TEMPORAL,,,,
Immature Lymphocytes,Immature Lymphocytes,,TEMPORAL,,,,
Immature Lymphocytes/Leukocytes,Immature Lymphocytes/Leukocytes,,TEMPORAL,,,,
Immature Monocytes,Immature Monocytes,,TEMPORAL,,,,
Immature Monocytes/Leukocytes,Immature Monocytes/Leukocytes,,TEMPORAL,,,,
Immature Neutrophils,Immature Neutrophils,,TEMPORAL,,,,
Immature Neutrophils/Leukocytes,Immature Neutrophils/Leukocytes,,TEMPORAL,,,,
Immature Plasma Cells,Immature Plasma Cells,,TEMPORAL,,,,
Immature Plasma Cells/Lymphocytes,Immature Plasma Cells/Lymphocytes,,TEMPORAL,,,,
Immature Reticulocyte Fraction,Immature Reticulocyte Fraction,,TEMPORAL,,,,
Immunoblasts,Immunoblastic Lymphocytes|Immunoblasts,,TEMPORAL,,,,
Immunoblasts/Lymphocytes,"Immunoblasts/Lymphocytes|Lymphocytes, Immunoblastic/Lymphocytes",,TEMPORAL,,,,
Immunoglobulin A,Immunoglobulin A,,TEMPORAL,,,,
